449,-2.96,1322
479,-3.09,1483
508,-3.23,1557
539,-3.35,1614
569,-3.48,1569
599,-3.62,1541
628,-3.74,1568
659,-3.87,1529
689,-4,1474
718,-4.12,1502
748,-4.24,1490
779,-4.37,1455
808,-4.49,1425
838,-4.61,1435
868,-4.73,1413
899,-4.85,1371
928,-4.97,1377
958,-5.08,1381
988,-5.19,1346
1018,-5.29,1322
1048,-5.4,1329
1078,-5.51,1300
1107,-5.62,1259
1138,-5.72,1284
1168,-5.82,1259
1198,-5.92,1249
1227,-6.03,1247
1258,-6.15,1208
1288,-6.26,1210
1317,-6.38,1206
1347,-6.5,1172
1378,-6.61,1146
1408,-6.71,1156
1437,-6.82,1158
1467,-6.9,1122
1498,-6.99,1116
1527,-7.07,1115
1557,-7.15,1105
1587,-7.23,1085
1617,-7.31,1073
1647,-7.39,1090
1677,-7.49,1049
1707,-7.59,1030
1737,-7.68,1029
1767,-7.78,1018
1797,-7.87,1006
1826,-7.98,991
1857,-8.07,969
1887,-8.14,995
1916,-8.21,981
1946,-8.29,964
1977,-8.37,956
2007,-8.45,952
2036,-8.53,921
2066,-8.62,903
2097,-8.69,919
2126,-8.77,903
2156,-8.85,891
2186,-8.9,900
2216,-8.96,869
2246,-9.01,856
2277,-9.05,875
2306,-9.1,842
2336,-9.15,822
2366,-9.17,849
2396,-9.21,827
2425,-9.25,807
2456,-9.3,814
2486,-9.34,801
2515,-9.38,790
2545,-9.41,798
2576,-9.45,789
2606,-9.48,780
2635,-9.53,769
2665,-9.57,772
2696,-9.6,753
2725,-9.63,742
2755,-9.65,747
2785,-9.69,730
2816,-9.73,725
2845,-9.76,716
2875,-9.81,681
2905,-9.83,754
2935,-9.87,697
2965,-9.91,630
2995,-9.93,693
3024,-9.95,693
3055,-9.96,649
3085,-9.97,665
3115,-9.98,691
3144,-9.99,655
3175,-10.02,626
3205,-10.04,653
3234,-10.07,652
3264,-10.1,596
3295,-10.13,632
3324,-10.15,630
3354,-10.18,600
3384,-10.22,581
3415,-10.26,592
3444,-10.29,593
3474,-10.33,556
3504,-10.36,576
3534,-10.39,599
3564,-10.42,565
3594,-10.46,562
3623,-10.5,567
3654,-10.55,565
3684,-10.59,540
3714,-10.62,539
3743,-10.66,537
3774,-10.69,509
3804,-10.73,504
3833,-10.76,527
3863,-10.79,540
3894,-10.83,505
3923,-10.86,497
3953,-10.88,509
3983,-10.91,479
4014,-10.94,468
4043,-10.96,485
4073,-10.99,486
4103,-11.01,470
4133,-11.03,482
4163,-11.05,455
4193,-11.07,441
4222,-11.07,470
4253,-11.07,461
4283,-11.07,441
4313,-11.09,426
4342,-11.09,451
4373,-11.11,434
4403,-11.13,406
4432,-11.16,409
4462,-11.17,398
4493,-11.2,391
4523,-11.21,406
4552,-11.22,378
4582,-11.23,389
4613,-11.24,386
4642,-11.25,386
4672,-11.26,379
4702,-11.27,363
4732,-11.29,355
4762,-11.29,378
4792,-11.29,360
4822,-11.32,340
4852,-11.32,363
4882,-11.32,347
4912,-11.33,327
4941,-11.35,329
4972,-11.35,325
5002,-11.36,313
5031,-11.36,319
5061,-11.36,318
5092,-11.36,313
5122,-11.36,298
5151,-11.36,296
5181,-11.37,295
5212,-11.38,283
5241,-11.38,296
5271,-11.38,306
5301,-11.37,300
5331,-11.37,270
5361,-11.37,255
5391,-11.36,271
5421,-11.37,241
5451,-11.39,241
5481,-11.43,223
5511,-11.45,204
5540,-11.46,214
5571,-11.47,225
5601,-11.48,210
5630,-11.5,202
5661,-11.52,208
5691,-11.55,214
5721,-11.58,197
5750,-11.6,183
5780,-11.6,170
5811,-11.59,182
5840,-11.58,200
5870,-11.59,167
5900,-11.61,145
5931,-11.63,149
5960,-11.67,157
5990,-11.72,144
6020,-11.77,138
6050,-11.82,149
6080,-11.84,143
6110,-11.86,127
6139,-11.88,131
6170,-11.88,148
6200,-11.86,145
6230,-11.81,126
6259,-11.76,150
6290,-11.75,136
6320,-11.75,103
6349,-11.76,106
6379,-11.78,113
6410,-11.79,121
6439,-11.8,106
6469,-11.81,106
6499,-11.81,112
6530,-11.8,93
6559,-11.78,75
6589,-11.78,56
6619,-11.8,65
6649,-11.82,62
6679,-11.85,54
6709,-11.85,72
6738,-11.87,86
6769,-11.89,66
6799,-11.9,47
6829,-11.89,21
6858,-11.89,-38
6889,-11.92,-32
6919,-11.95,-20
6948,-11.99,-58
6978,-12.04,-23
7009,-12.1,18
7038,-12.16,3
7068,-12.19,-27
7098,-12.25,-51
7129,-12.29,-40
7158,-12.35,-55
7188,-12.43,-44
7218,-12.53,-50
7248,-12.66,-116
7278,-12.82,-120
7308,-12.98,-108
7337,-13.15,-117
7368,-13.33,-111
7398,-13.56,-164
7428,-13.79,-198
7457,-14,-122
7488,-14.27,-174
7518,-14.61,-228
7547,-14.98,-258
7577,-15.45,-366
7608,-16.04,-547
7638,-16.8,-763
7667,-17.87,-994
7697,-19.51,-1307
7728,-21.65,-1959
7757,-23.96,-4875
7787,-25.23,-4506
7817,-25.1,-1270
7847,-25.22,2062
7877,-25.4,2828
7907,-25,1879
7937,-23.2,1421
7967,-19.79,2116
7997,-15.05,2989
8027,-9.34,2760
8056,-3.07,1675
8087,3.2,650
8117,8.97,405
8146,13.62,422
8176,16.5,762
8207,17.49,1080
8237,16.77,1083
8266,14.48,648
8296,11.02,-10
8327,10.3,-4706
8356,10.72,2087
8386,7.94,3100
8416,4.6,-438
8446,0.43,-3443
8476,-2.68,-1996
8506,-4.62,329
8536,-6.63,515
8566,-8.95,-413
8596,-11.13,-1103
