5,-15348,-104,-5528,-937,514,-257
8,-15396,-68,-5352,-913,514,-256
11,-15368,-16,-5356,-893,509,-253
17,-15192,-20,-5196,-857,524,-236
26,-15272,60,-5236,-828,555,-207
34,-15328,184,-5368,-912,579,-203
44,-15320,280,-5460,-1005,573,-201
53,-15332,288,-5484,-1117,598,-193
63,-15244,332,-5340,-1210,591,-211
72,-15320,260,-5440,-1276,592,-251
81,-15332,20,-5444,-1328,593,-225
91,-15212,120,-5592,-1348,574,-190
100,-15292,96,-5668,-1279,594,-184
109,-15348,32,-5636,-1189,589,-151
118,-15156,244,-5720,-1166,571,-197
129,-15224,40,-5564,-1079,571,-160
138,-15232,176,-5696,-978,565,-141
147,-15228,164,-5608,-929,539,-159
156,-15284,228,-5584,-945,540,-155
165,-15244,340,-5460,-956,538,-178
175,-15164,288,-5248,-929,534,-225
184,-15224,224,-5288,-964,566,-225
194,-15244,348,-5296,-1096,596,-259
203,-15160,396,-5300,-1308,685,-320
212,-14992,316,-5296,-1427,748,-330
223,-15036,-76,-5252,-1382,798,-341
232,-15200,20,-5432,-1283,851,-314
241,-15336,96,-5324,-1021,821,-281
250,-15132,400,-5468,-959,819,-254
261,-14944,556,-5616,-1069,861,-297
270,-15072,580,-5504,-1307,931,-378
279,-14988,520,-5476,-1601,1032,-418
289,-15100,216,-5372,-1660,1133,-399
300,-15296,92,-5948,-1532,1156,-373
309,-15236,84,-6220,-1481,1191,-260
318,-15212,-136,-6332,-1419,1107,-180
328,-15360,-340,-6580,-1223,1000,-153
338,-15304,-228,-6492,-940,940,-45
348,-15224,-324,-6572,-589,846,72
357,-15280,-640,-6820,-232,691,203
366,-15344,-828,-6760,298,573,374
375,-15196,-320,-6468,728,467,456
385,-15276,196,-6400,916,381,498
394,-15296,740,-6792,807,298,470
402,-15252,496,-6840,774,198,402
411,-15176,508,-7196,608,75,319
419,-15112,760,-6716,557,11,258
429,-15092,800,-6740,886,-59,308
437,-15064,200,-6944,1060,-152,332
447,-15180,-648,-6436,1339,-237,408
456,-15292,-844,-6064,1981,-377,568
465,-15352,-48,-5868,2346,-443,647
