8,16324,-828,-4920,6,91,-80,0.05
12,16428,-732,-4784,20,118,-62,0.04
50,16416,-640,-4684,-19,130,-103,0.04
90,16560,-664,-4736,-54,109,-55,0.04
130,16468,-652,-4836,-76,144,-57,0.04
169,16460,-672,-4704,-4,129,-72,0.04
209,16384,-660,-4628,-9,135,-53,0.04
249,16448,-736,-4748,-25,111,-69,0.04
289,16480,-688,-4668,0,122,-90,0.04
328,16456,-716,-4676,6,104,-85,0.04
366,16500,-772,-4608,-38,127,-90,0.05
407,16480,-628,-4740,37,106,-76,0.04
447,16412,-640,-4720,-14,96,-68,0.04
486,16400,-624,-4792,30,115,-96,0.04
526,16500,-716,-4812,-41,105,-77,0.04
566,16500,-744,-4756,-12,110,-94,0.04
607,16448,-712,-4620,-19,106,-117,0.04
649,16388,-496,-4728,49,105,-114,0.03
689,16428,-636,-4852,-8,97,-105,0.04
729,16520,-728,-4632,3,90,-138,0.04
766,16424,-696,-4652,13,70,-123,0.04
806,16488,-764,-4760,6,89,-114,0.04
845,16488,-656,-4680,59,89,-107,0.04
884,16456,-648,-4692,5,106,-76,0.04
923,16372,-784,-4668,10,82,-100,0.05
962,16408,-808,-4688,20,106,-139,0.05
1003,16480,-576,-4868,-13,102,-123,0.03
1046,16356,-724,-4740,-66,79,-109,0.04
1087,16516,-756,-4868,-27,60,-137,0.04
1129,16488,-684,-4808,33,71,-107,0.04
1169,16408,-640,-4768,3,86,-106,0.04
1209,16472,-620,-4804,-48,65,-114,0.04
1251,16456,-664,-4700,44,63,-149,0.04
1291,16508,-680,-4768,-25,107,-135,0.04
1334,16448,-680,-4780,-100,126,-142,0.04
1378,16516,-700,-4800,-37,115,-200,0.04
1420,16480,-776,-4768,50,89,-186,0.05
1461,16396,-596,-4844,3,104,-113,0.03
1501,16424,-724,-4724,-12,88,-108,0.04
1543,16360,-584,-4660,47,94,-114,0.03
1584,16448,-612,-4820,-3,113,-72,0.04
1624,16484,-760,-4740,-12,130,-140,0.04
1667,16352,-684,-4800,23,118,-208,0.04
1709,16396,-636,-4720,79,103,-216,0.04
1750,16352,-564,-4740,24,96,-160,0.03
1790,16364,-628,-4572,54,113,-132,0.04
1831,16320,-508,-4764,2,103,-92,0.03
1871,16444,-600,-4816,-36,136,-129,0.04
1914,16520,-644,-4784,-59,158,-139,0.04
1956,16552,-572,-4736,22,111,-181,0.03
1998,16508,-688,-4888,17,107,-171,0.04
2040,16480,-388,-4732,-3,88,-142,0.02
2080,16544,-616,-4796,-6,72,-127,0.04
2121,16468,-584,-4844,-24,86,-78,0.03
2161,16412,-584,-4712,-43,113,-63,0.03
2203,16508,-608,-4592,-55,105,-116,0.04
2246,16508,-608,-4676,71,82,-144,0.04
2286,16500,-568,-4684,15,110,-115,0.03
2328,16380,-536,-4608,-2,99,-116,0.03
2368,16368,-552,-4744,-16,90,-85,0.03
2409,16468,-672,-4852,-38,94,-73,0.04
2450,16504,-692,-4880,-48,102,-86,0.04
2491,16416,-548,-4900,19,87,-118,0.03
2532,16448,-524,-4756,-23,97,-65,0.03
2573,16428,-572,-4528,-65,81,-89,0.03
2613,16444,-568,-4964,-13,112,-89,0.03
2655,16384,-588,-4728,-29,120,-101,0.03
2697,16488,-544,-4592,-37,123,-117,0.03
2740,16392,-548,-4632,14,110,-68,0.03
2781,16464,-604,-4720,-26,119,-79,0.04
2822,16484,-560,-4700,13,113,-79,0.03
2863,16448,-592,-4744,3,97,-50,0.03
2900,16436,-548,-4704,-34,116,-41,0.03
2942,16456,-576,-4608,-2,90,-14,0.03
2982,16404,-604,-4856,14,77,-29,0.04
3021,16332,-660,-4664,42,90,-41,0.04
3061,16412,-604,-4712,13,74,-39,0.04
3100,16492,-672,-4756,3,90,-28,0.04
3139,16576,-576,-4784,-75,89,-55,0.03
3180,16512,-612,-4748,-68,48,-26,0.04
