9,16540,-1388,-3648,302,36,-737,0.08
18,16536,-1424,-3756,143,19,-721,0.08
59,16616,-1860,-3444,560,-75,-826,0.11
100,16632,-1064,-3672,718,-197,-808,0.06
144,16740,-1292,-3540,400,-169,-725,0.08
188,16536,-1224,-3668,554,-179,-695,0.07
231,16536,-1160,-3904,159,-141,-695,0.07
275,16492,-1484,-3764,159,-155,-792,0.09
319,16600,-784,-3920,136,-126,-710,0.05
361,16440,-984,-3776,72,-98,-529,0.06
402,16548,-1012,-3784,166,-209,-461,0.06
446,16600,-808,-4052,99,-147,-315,0.05
487,16652,-1100,-3848,135,-176,-341,0.06
531,16500,-796,-4096,87,-110,-252,0.05
572,16624,-1064,-3904,-37,-39,-198,0.06
615,16488,-940,-3940,6,2,-178,0.06
653,16552,-904,-3872,-7,-29,-186,0.05
693,16596,-892,-3972,110,-27,-189,0.05
735,16512,-984,-3880,67,16,-189,0.06
775,16588,-924,-4196,112,2,-132,0.05
814,16676,-828,-4080,131,53,-70,0.05
854,16620,-900,-3984,81,34,7,0.05
889,16556,-1024,-3888,114,63,24,0.06
929,16708,-924,-4052,65,127,13,0.05
967,16492,-980,-4024,19,82,-92,0.06
1006,16656,-976,-3948,57,38,-142,0.06
1047,16660,-848,-4100,120,50,-78,0.05
1087,16500,-1052,-4132,19,58,18,0.06
1127,16612,-968,-3956,229,25,-21,0.06
1167,16600,-932,-3928,54,-15,7,0.05
1206,16476,-1064,-4068,-10,19,-52,0.06
1248,16416,-932,-4068,41,39,-4,0.06
1286,16552,-1012,-3880,3,27,9,0.06
1324,16604,-948,-3980,58,42,25,0.06
1361,16600,-1136,-4024,23,51,-8,0.07
1401,16544,-1112,-4104,11,45,-90,0.07
1442,16572,-1248,-4084,-6,-3,-244,0.07
1483,16492,-736,-4132,121,21,-230,0.04
1525,16544,-936,-4200,-243,47,-53,0.05
1566,16552,-996,-4220,-384,104,-37,0.06
1609,16500,-1276,-4112,-167,37,-141,0.07
1653,16496,-1124,-4032,-172,79,-201,0.07
1696,16528,-1128,-4172,-110,117,-249,0.07
1741,16604,-880,-4220,-40,61,-279,0.05
1783,16588,-812,-4088,-94,92,-182,0.05
1824,16528,-904,-3964,-5,123,-53,0.05
1865,16524,-872,-4120,36,94,-9,0.05
1903,16516,-972,-4136,-47,79,5,0.06
1942,16576,-992,-3956,-73,110,-77,0.06
1984,16520,-948,-4152,12,126,-120,0.06
