8,-12992,-3132,-6756,-6442,-942,-872
18,-12416,-2964,-6888,-4517,-431,-215
28,-12240,-2608,-7152,-2931,205,409
37,-11984,-2428,-7844,-1802,990,798
47,-12688,-2752,-9396,-397,1364,1107
57,-13476,-2544,-8772,1415,1425,1975
67,-13640,-1840,-7188,2943,1549,2886
76,-13768,-1872,-6608,4233,1744,3487
87,-14816,-2080,-6452,5018,1702,4049
97,-15880,-860,-5268,5079,1258,4440
106,-17292,1268,-3684,4497,549,4406
115,-19280,3140,-1116,2718,-517,3906
125,-20360,4552,2140,-23,-679,2908
135,-20092,4408,2924,-1927,289,1688
145,-17860,3652,68,-3158,1255,577
153,-15776,2272,-1452,-3238,1609,174
163,-15024,448,-3108,-2792,1742,-231
174,-15444,-1132,-5296,-1793,1564,-290
184,-15784,-1080,-6452,-893,1239,11
193,-15320,-372,-6532,33,980,205
202,-15080,148,-6504,684,798,311
211,-15232,284,-5508,1122,618,386
220,-15588,328,-4780,1316,573,423
229,-15712,612,-4004,1228,616,359
238,-15652,616,-3328,954,708,247
247,-15800,560,-3276,584,753,124
257,-15828,476,-3248,186,812,-25
265,-15832,52,-3248,2,935,-105
273,-15568,-156,-3716,-95,950,-111
282,-15460,-316,-4236,-183,928,-72
292,-15544,-344,-4204,-147,942,10
301,-15632,-672,-4600,-2,910,89
310,-15636,-1020,-4496,190,799,219
319,-15548,-716,-4296,509,724,377
328,-15388,-444,-4040,659,747,511
337,-15412,84,-4372,601,802,585
346,-15468,672,-4144,384,820,637
355,-15224,832,-4424,54,898,551
363,-15192,756,-4364,-342,892,513
372,-15368,712,-4536,-667,832,427
381,-15544,516,-4548,-948,791,369
391,-15652,236,-4616,-1131,722,362
400,-15748,-108,-4192,-1137,703,341
409,-15912,-796,-4756,-980,679,443
418,-15776,-1132,-4784,-637,547,643
429,-15876,-1360,-4748,2,337,837
437,-15992,-1288,-4564,219,186,1048
447,-15836,-624,-4576,451,45,1201
456,-15508,76,-4484,395,-12,1315
464,-15428,572,-4492,164,-65,1333
474,-15368,528,-4304,-182,-86,1344
483,-15428,504,-3988,-520,-28,1320
493,-15516,472,-4168,-823,-18,1350
502,-15440,820,-4556,-1099,-65,1258
512,-15432,1292,-4152,-1390,-107,1145
522,-15380,1328,-4268,-1692,-10,946
531,-15320,1232,-4084,-1814,-2,793
541,-15540,1164,-4076,-1759,22,619
550,-15560,880,-4332,-1517,60,493
560,-15440,1128,-4352,-1217,56,358
569,-15460,1632,-4320,-952,54,159
578,-15504,2036,-4600,-966,12,-125
587,-15792,2280,-4704,-1050,-107,-523
598,-15828,2584,-5240,-1102,-241,-1027
608,-15580,2680,-4692,-1161,-383,-1651
618,-15456,2140,-4472,-929,-442,-2127
628,-15152,2064,-4240,-611,-379,-2481
638,-15188,1960,-4400,-381,-361,-2859
649,-15356,1996,-4356,64,-330,-3278
658,-15568,2152,-3700,338,-277,-3773
668,-15548,2188,-3544,443,-202,-4349
677,-15620,2008,-3252,633,-32,-4932
688,-15460,1676,-2844,899,133,-5480
697,-15500,1400,-3136,1177,275,-5981
707,-15628,732,-2716,1583,410,-6561
716,-16028,104,-2988,1963,475,-6949
727,-16068,152,-3300,2285,492,-7280
736,-16160,-124,-3020,2578,582,-7551
746,-16308,464,-4388,2386,711,-7360
755,-16900,304,-5140,2267,765,-7483
764,-16744,-340,-6068,1941,717,-7230
775,-17180,-1492,-6540,1665,511,-6941
785,-17808,-3060,-5844,2487,332,-6816
795,-18032,-3348,-5724,3818,15,-6215
805,-18420,-2736,-4744,5413,-124,-6035
816,-17492,-1928,-3876,7092,93,-6079
825,-16708,-1004,-4136,7785,397,-5806
835,-16268,196,-5036,7800,670,-5640
845,-16760,448,-5836,7281,861,-5530
855,-16944,436,-5348,6521,618,-5463
864,-16440,-372,-4132,6169,563,-5677
874,-16256,-1464,-4204,5745,720,-5738
884,-16588,-1800,-4104,5395,444,-5335
894,-16088,152,-3288,4656,98,-4637
904,-15264,536,-2744,3653,85,-4050
913,-14916,712,-3572,2571,-208,-3247
923,-14508,1376,-2592,1480,-438,-2438
933,-14112,1336,-2524,203,-608,-1499
943,-14120,904,-2456,-1006,-900,-578
953,-14192,804,-2252,-1989,-1045,319
963,-14532,876,-2348,-2994,-1223,1288
973,-14324,584,-2336,-3937,-1379,2205
983,-14428,-332,-2692,-4575,-1508,3098
994,-14784,-488,-3268,-5061,-1745,4171
1004,-14800,76,-2804,-5434,-1936,5090
1014,-14896,0,-2996,-5669,-2000,5801
1024,-14752,-344,-3080,-5806,-2047,6451
1035,-14868,-712,-3332,-5719,-2041,7233
1045,-15176,-848,-3580,-5565,-2066,8002
1056,-14912,-1072,-3720,-5305,-2114,8613
1067,-14872,-1616,-3676,-4840,-2019,9110
1078,-15120,-1568,-4260,-4527,-2044,9645
1089,-15276,-1368,-4264,-4238,-2034,9956
1099,-15528,-1240,-4232,-4022,-1920,10089
1111,-15832,-832,-4124,-3920,-1751,10308
1122,-16028,-312,-4136,-3835,-1730,10408
1132,-15996,-208,-3836,-3671,-1604,10364
1143,-15964,20,-4104,-3689,-1614,10331
1154,-16136,320,-4244,-3749,-1594,10164
1165,-16076,500,-4644,-3862,-1682,9770
1175,-15988,492,-4460,-4030,-1624,9165
1185,-16172,468,-4288,-4258,-1405,8793
1196,-16060,1008,-4408,-4475,-1294,8554
1207,-15840,1740,-4300,-4579,-1262,8136
1217,-15608,1800,-4052,-4637,-1247,7689
1227,-15644,1816,-4024,-5090,-1214,7531
1239,-15508,1896,-4052,-5444,-1112,7362
1249,-15732,1900,-4368,-5768,-1137,7246
1260,-15396,2524,-4180,-5894,-1152,7074
1270,-14844,2848,-3672,-5907,-1050,6631
1281,-14532,2532,-3884,-6190,-848,6108
1292,-14180,2264,-4244,-6321,-727,5668
1302,-14372,2332,-4140,-6363,-680,5257
1312,-14304,2460,-3932,-6557,-486,4924
1323,-14204,2052,-4012,-5913,-398,4421
1333,-14052,2308,-4012,-5527,-229,4203
1343,-13612,2220,-4132,-5365,-41,3941
1353,-13452,2136,-4080,-4953,213,3644
1363,-13760,1860,-4364,-4274,330,3153
1374,-14120,1772,-4368,-3728,527,2564
1384,-14408,2068,-4288,-3433,849,1859
1394,-14420,1952,-4460,-3171,1119,1007
1404,-14360,1788,-4792,-2990,1357,21
1415,-14228,1680,-4104,-2940,1658,-962
1425,-14080,948,-3944,-2760,1993,-2124
1435,-14176,612,-3888,-2689,2326,-3222
1445,-14268,416,-3320,-2737,2790,-4445
1456,-14248,-388,-3596,-2844,3233,-5809
1467,-13648,-1692,-5120,-3482,3315,-7099
1477,-12596,-3200,-5948,-4163,3039,-8482
1488,-11944,-5040,-4492,-3962,3410,-10011
1500,-12644,-7600,-7712,-4490,3279,-11192
1511,-16784,-4872,-6772,-4292,881,-10543
1522,-32768,15996,-4476,-552,-7878,-1411
1532,-29248,32767,32767,5832,1106,-2411
1544,-9716,11300,-4320,-10108,7737,-7594
1554,-6308,-4528,-8348,-18506,4399,-11791
1565,-11828,-13304,-3884,-16098,1692,-13208
1577,-17896,-22548,5344,-7304,1538,-13086
1589,-19940,-10600,-80,1769,4856,-8934
