5,16472,-908,-4560,-61,33,-263,0.05
9,16552,-844,-4356,-40,1,-255,0.05
15,16448,-740,-4360,-12,-20,-300,0.04
56,16472,-740,-4616,-77,-1,-296,0.04
95,16484,-420,-4520,-75,51,-219,0.02
135,16564,-708,-4520,-144,56,-142,0.04
177,16508,-728,-4520,-137,87,-118,0.04
218,16488,-672,-4568,15,69,-82,0.04
257,16440,-680,-4524,-19,111,-38,0.04
296,16568,-720,-4560,-47,134,-57,0.04
337,16448,-756,-4392,122,99,-72,0.04
377,16588,-760,-4480,-19,154,-71,0.04
417,16544,-760,-4480,72,172,-133,0.04
458,16464,-672,-4656,74,208,-137,0.04
498,16504,-696,-4552,-14,188,-165,0.04
540,16452,-784,-4488,77,192,-237,0.05
581,16508,-484,-4456,9,213,-218,0.03
620,16672,-696,-4440,34,177,-181,0.04
661,16556,-588,-4556,29,171,-183,0.03
701,16508,-572,-4396,15,169,-207,0.03
742,16540,-564,-4400,49,132,-154,0.03
783,16508,-700,-4548,-103,153,-100,0.04
825,16556,-752,-4420,54,100,-127,0.04
866,16432,-536,-4648,-12,122,-79,0.03
907,16368,-744,-4356,-101,77,-78,0.04
947,16504,-604,-4252,-65,103,-135,0.04
989,16532,-624,-4404,-68,92,-114,0.04
1029,16548,-640,-4368,-2,121,-80,0.04
1070,16532,-616,-4448,21,91,-59,0.04
1110,16452,-748,-4528,0,80,-59,0.04
1147,16496,-708,-4400,8,124,-92,0.04
1187,16548,-644,-4428,-23,120,-92,0.04
1228,16484,-664,-4364,39,66,-134,0.04
1269,16572,-584,-4404,-40,108,-139,0.03
1312,16592,-640,-4484,65,113,-134,0.04
1353,16548,-708,-4476,34,120,-89,0.04
1394,16528,-612,-4376,10,78,-147,0.04
1434,16496,-548,-4416,16,93,-139,0.03
1475,16568,-568,-4460,19,89,-124,0.03
1516,16496,-500,-4504,9,100,-129,0.03
1556,16500,-656,-4520,-50,114,-80,0.04
1598,16432,-668,-4396,-7,91,-109,0.04
1638,16480,-676,-4416,41,99,-136,0.04
1679,16520,-548,-4588,-36,114,-108,0.03
1722,16540,-640,-4268,-50,119,-152,0.04
1764,16580,-512,-4428,55,105,-135,0.03
1806,16576,-580,-4292,-62,115,-96,0.03
1848,16572,-624,-4320,-25,97,-62,0.04
1888,16500,-580,-4364,30,84,-60,0.03
1928,16504,-576,-4488,-47,69,-68,0.03
1968,16520,-740,-4424,6,73,-73,0.04
2007,16528,-568,-4380,117,66,-79,0.03
2048,16464,-560,-4568,81,62,-64,0.03
2086,16492,-692,-4336,86,51,-71,0.04
2126,16516,-564,-4612,322,45,35,0.03
2165,16556,-552,-4516,56,52,150,0.03
2205,16448,-752,-4496,66,40,147,0.04
2245,16456,-740,-4400,-40,36,119,0.04
2285,16544,-688,-4464,-277,133,150,0.04
2328,16592,-700,-4396,-308,152,58,0.04
2369,16560,-680,-4528,37,127,-19,0.04
2410,16524,-940,-4496,19,121,-55,0.05
2451,16580,-708,-4472,98,146,-91,0.04
2491,16508,-620,-4544,-98,165,-70,0.04
2533,16500,-736,-4544,-34,204,-57,0.04
2575,16500,-1068,-4400,-34,213,-26,0.06
2617,16472,-740,-4276,43,229,-49,0.04
2658,16516,-1088,-4204,445,208,-143,0.06
2701,16604,-572,-4776,78,280,5,0.03
2740,16436,-908,-4320,94,307,30,0.05
2780,16428,-800,-4504,445,367,-9,0.05
2820,16480,-656,-4480,-65,495,70,0.04
2861,16500,-912,-4320,134,537,12,0.05
2900,16592,-904,-4504,83,648,95,0.05
2940,16512,-780,-4384,-3,703,144,0.05
2981,16496,-800,-4096,139,741,122,0.05
3022,16588,-824,-4052,-236,873,150,0.05
3065,16620,-1040,-4104,-210,899,150,0.06
3109,16552,-912,-4084,-493,977,91,0.05
3150,16664,-1096,-3864,-402,1021,-14,0.06
3195,16720,-904,-3932,-694,1052,-89,0.05
3239,16640,-1272,-3616,-859,1113,-343,0.07
3284,16696,-832,-4008,-845,1238,-831,0.05
3330,16548,-1576,-3380,-1111,1318,-1371,0.09
3378,16996,-724,-3784,-491,1367,-2250,0.04
3423,16508,-912,-3352,-719,1592,-2887,0.05
3469,16764,-880,-3396,-430,1643,-3664,0.05
3515,17136,-252,-3124,-998,1885,-4216,0.01
3560,18024,-800,-2456,-1314,2371,-4693,0.04
3607,18056,-216,-2844,425,2256,-6268,0.01
3652,17968,-1844,-2180,2555,2108,-6956,0.10
3698,14628,-2244,-1500,5523,1652,-3474,0.15
3745,14212,-2932,-3292,8313,188,3031,0.20
3790,16176,-92,-4876,6785,-640,7299,0.01
3833,16676,572,-4816,1948,-1100,9438,-0.03
3879,16860,-332,-3632,1162,-2187,10154,0.02
3927,17116,-240,-2476,3617,-2780,9637,0.01
3973,17432,612,-2828,5492,-2557,8041,-0.03
4018,17060,2084,-3052,4861,-2076,5112,-0.12
4065,16492,2452,-3172,1711,-1624,2186,-0.14
4112,16568,1248,-1544,1927,-1189,-743,-0.07
4158,20348,-3028,-1256,4211,-245,-3955,0.15
4205,17208,156,-3896,2474,-1721,-2763,-0.01
4252,15000,-4092,-7148,3720,-2141,-2945,0.24
4299,17892,1224,-3172,351,-1228,-2452,-0.07
4346,16756,-2624,-1856,1302,-1595,-3088,0.15
4395,16264,-624,-5400,2385,-1941,-2937,0.04
4442,16548,-608,-4020,-1736,-1003,-1314,0.04
4489,16468,-2040,-3036,1220,-1795,-1367,0.12
4537,16084,-584,-5920,1271,-1650,-1010,0.03
4584,16468,-1280,-5132,-890,-1318,-540,0.07
4630,16264,-1624,-5524,-516,-1278,-696,0.09
4677,16344,-704,-6008,-1213,-794,-318,0.04
4723,16348,-1428,-5052,-1410,-578,-169,0.08
