8,16396,-780,-4596,-105,106,-24,0.05
16,16364,-852,-4404,-148,97,13,0.05
55,16540,-872,-4560,-143,65,41,0.05
93,16512,-660,-4700,-195,91,112,0.04
133,16572,-956,-4404,-352,113,136,0.06
175,16524,-832,-4592,-239,89,87,0.05
214,16416,-1048,-4492,-171,127,59,0.06
256,16456,-1008,-4544,-141,172,-22,0.06
297,16512,-892,-4396,-156,193,-70,0.05
339,16532,-1112,-4444,35,152,-193,0.06
381,16404,-1024,-4436,24,141,-250,0.06
422,16560,-1136,-4412,159,111,-319,0.07
465,16504,-908,-4512,226,55,-363,0.05
505,16472,-900,-4464,239,45,-360,0.05
546,16380,-820,-4548,315,43,-436,0.05
587,16308,-964,-4412,175,-31,-391,0.06
628,16404,-860,-4536,243,38,-492,0.05
669,16572,-672,-4528,172,52,-566,0.04
710,16564,-580,-4424,-78,118,-494,0.03
751,16556,-920,-4428,177,107,-589,0.05
793,16480,-276,-4596,28,224,-465,0.02
833,16580,-636,-4400,-27,233,-293,0.04
875,16512,-504,-4432,20,158,-130,0.03
916,16484,-532,-4448,-11,145,-32,0.03
956,16428,-512,-4460,-38,137,7,0.03
995,16636,-684,-4320,6,75,-18,0.04
1032,16488,-704,-4580,-71,39,-9,0.04
1072,16528,-668,-4420,15,45,-93,0.04
1112,16544,-588,-4508,-116,99,-173,0.03
1154,16560,-716,-4552,11,165,-328,0.04
1196,16564,-556,-4356,94,103,-388,0.03
1236,16544,-520,-4360,60,109,-332,0.03
1278,16524,-380,-4316,150,106,-260,0.02
1321,16464,-532,-4456,-69,147,-117,0.03
1363,16520,-788,-4340,43,130,-169,0.05
1405,16456,-408,-4328,-17,153,-151,0.02
1448,16480,-676,-4356,-68,148,-204,0.04
1490,16524,-588,-4556,11,164,-259,0.03
1532,16516,-336,-4484,-25,146,-194,0.02
1575,16508,-592,-4336,-23,119,-153,0.03
1617,16504,-348,-4436,5,97,-132,0.02
1657,16584,-544,-4404,-37,77,-87,0.03
1697,16500,-488,-4440,-62,97,-105,0.03
1739,16456,-548,-4412,-34,112,-145,0.03
1782,16456,-440,-4528,44,96,-163,0.03
1822,16520,-624,-4500,99,142,-186,0.04
1864,16580,-492,-4384,-23,150,-99,0.03
1906,16604,-480,-4584,-85,125,6,0.03
1945,16484,-488,-4416,66,109,-45,0.03
1986,16544,-588,-4576,9,169,-41,0.03
2025,16552,-656,-4244,-22,135,-74,0.04
2067,16500,-224,-4356,165,109,-141,0.01
2110,16768,-12,-4376,36,108,52,0.00
2148,16516,-620,-4368,96,192,106,0.04
2189,16532,-644,-4196,22,301,73,0.04
2228,16492,-644,-4460,364,437,-61,0.04
2270,16528,-248,-4912,-11,693,54,0.01
2311,16544,-808,-4424,-6,1006,-39,0.05
2352,16604,-628,-4896,-67,1355,-238,0.04
2396,16700,-848,-4400,-552,1792,-438,0.05
2441,16712,-960,-3904,-617,2089,-948,0.06
2485,16672,-912,-4192,-62,2268,-1707,0.05
2530,17032,-1164,-3672,642,2552,-2824,0.07
2576,17372,-1004,-3624,394,3208,-4630,0.06
2621,17336,-1220,-4440,-1673,4151,-7027,0.07
2669,20064,-1456,-5616,-4405,5213,-9349,0.07
2717,19624,-1140,-5360,-2325,3264,-10857,0.06
2765,14360,-5636,-3356,-1868,-244,-3486,0.37
2813,13216,-5064,-2516,3299,-3415,4720,0.36
2861,16200,-3568,-1936,2569,-3351,11263,0.22
2909,17276,-2756,-2020,3521,-4095,13886,0.16
2956,17268,-1776,-2824,5767,-4447,15244,0.10
3004,18428,-1228,-3076,7273,-5074,15036,0.07
3052,18400,-348,-3912,3980,-3351,14248,0.02
3098,17164,864,-3428,726,-2975,11993,-0.05
3144,17136,-116,-2704,1093,-2226,7350,0.01
3190,16652,492,-2588,3247,-1722,1424,-0.03
3235,16668,2204,-4528,2204,-988,-3657,-0.13
3282,16200,3252,-5028,-40,-327,-10827,-0.19
3330,24376,-32768,8916,-21827,8430,6524,0.90
3378,16124,-7844,-1760,12120,-1434,-12430,0.45
3427,20568,2968,-8072,1433,-4961,-11545,-0.13
3476,15684,-4660,-3828,-10031,-707,-5438,0.28
3525,15464,-180,-5304,2249,-3744,-7444,0.01
3572,16404,2324,-6660,-7128,-1092,-4597,-0.13
3620,16508,-2044,-4708,-5897,-1000,-4871,0.12
3670,15324,1516,-7104,-4691,8,-4186,-0.09
3715,16560,816,-6564,-3051,124,-4025,-0.05
3760,15336,-680,-7236,-2476,128,-4656,0.04
3806,15912,756,-6216,-2858,-20,-5080,-0.04
3852,16644,2112,-7260,-3539,-367,-5646,-0.12
3899,18504,2748,-3624,-5529,221,-7268,-0.14
3946,18020,1992,-5400,-3997,611,-9158,-0.11
3993,17656,3568,-5996,-3647,1421,-9374,-0.19
4041,18160,3468,-4740,-740,2716,-10620,-0.18
4088,17064,7296,-5092,-4102,2960,-10537,-0.39
4137,22092,3112,-6200,-12167,3031,-10992,-0.13
4188,19596,-10208,-3136,-7060,6341,-11557,0.48
4238,11560,-2268,-12864,-618,3429,-5485,0.13
4285,10680,-5684,-7488,-18527,2692,11557,0.41
4334,13988,-3140,-3024,-1601,-3661,14992,0.22
4383,17348,-96,-3900,13537,-6326,17839,0.01
4429,17832,5604,-9316,19892,-6876,20845,-0.27
4478,18972,8672,-8740,6154,-5429,26724,-0.39
4527,19076,9320,-4200,1879,-6709,26292,-0.45
4575,21336,6856,-2908,4905,-6014,21843,-0.31
4622,19640,7052,-4496,6931,-5322,15507,-0.34
4670,20668,8848,-3476,717,-3492,8004,-0.40
4716,18176,9604,-2684,6351,-1227,-6862,-0.48
4763,26712,-23308,7052,-1076,9939,-5892,0.70
4811,20180,4384,-9132,15994,-6003,-20331,-0.20
4861,16420,10148,-12000,-8640,-1207,-13155,-0.46
4914,19916,-11912,1140,-2303,-2498,-10389,0.54
4963,13052,12588,-9392,-6507,-263,-6950,-0.66
5012,17624,-2364,-4988,-2067,320,-6474,0.13
5059,17172,312,-5484,-4509,328,-5834,-0.02
5105,16364,2284,-6456,-2697,610,-6307,-0.13
5151,16424,2412,-6244,-3552,754,-6152,-0.14
5198,16612,2792,-5192,-4038,992,-6653,-0.16
5245,17084,2964,-5732,-3517,1437,-7445,-0.16
5293,17916,2844,-5576,-2651,2632,-8625,-0.15
5341,18024,4312,-5384,-2528,3589,-9898,-0.23
5389,17660,6936,-6896,-5266,3835,-10369,-0.35
5438,24956,3624,-11528,-10451,3476,-11210,-0.13
5488,20924,-11116,-11472,-23783,4170,-9206,0.44
5539,14976,9152,-11820,-6321,-4607,-15027,-0.45
5591,9692,-7404,-2732,-20523,-1603,7991,0.63
5639,9904,-3280,-688,8465,-9887,9885,0.32
5683,14800,1972,-1544,13383,-11788,18348,-0.13
5733,17272,5772,-4220,3927,-9232,27418,-0.31
5781,18976,3508,-3524,-945,-10601,30653,-0.18
5829,22228,3908,-1292,3838,-12323,29734,-0.17
5878,25804,2764,-1112,17622,-10469,23720,-0.11
5928,25016,12040,-5412,21575,-4482,12017,-0.44
5979,18076,16264,-7748,2359,-826,-4681,-0.69
6026,18320,6072,-2976,2282,2010,-18120,-0.32
6074,24628,-10044,2368,7619,1210,-3710,0.39
6121,14432,3256,-6440,17099,-5825,-16562,-0.20
6171,13844,5888,-6784,-20850,3090,-11350,-0.36
6220,17364,-11272,-2560,8173,-718,-11754,0.57
6269,15384,4420,-5992,-9113,-1034,-4564,-0.26
6319,15172,1224,-6216,-1982,132,-6358,-0.07
6366,16768,1092,-6376,-4186,211,-5488,-0.06
6412,16848,2364,-6324,-3425,143,-6036,-0.13
6459,16728,2780,-4992,-4371,377,-6146,-0.16
6506,17304,3168,-5368,-4072,698,-7096,-0.17
6552,17540,3124,-6120,-4226,1533,-8394,-0.17
6600,18164,4008,-7236,-4786,2564,-10062,-0.20
6649,18764,4168,-5952,-7420,3698,-11615,-0.21
6699,23048,124,-8964,-9911,3954,-12106,-0.01
6746,23440,-92,-9980,-20701,4328,-10677,0.00
6794,15840,-11584,-3540,-5754,9940,-4266,0.62
6843,12896,-216,-7976,953,-3552,-3273,0.01
