5,16436,1204,-4764,-340,82,190
8,16372,1156,-4712,-312,115,171
11,16460,1144,-4704,-249,82,183
41,16420,1192,-4756,-10,54,156
74,16360,1248,-4724,-181,98,243
109,16260,948,-4868,-89,103,175
143,16416,880,-4816,-126,133,97
178,16496,1012,-4964,152,189,61
211,16296,844,-4736,-142,231,17
246,16284,588,-4832,271,210,-203
281,16224,1084,-4664,195,219,-277
318,16296,872,-4764,765,213,-423
353,16352,888,-4932,1138,313,-538
390,16408,1164,-5192,1286,477,-585
427,16412,1308,-4952,799,577,-449
463,16396,1028,-5340,102,879,-517
499,16456,424,-5248,-521,1286,-844
537,16552,968,-4728,-528,1630,-1244
576,16528,500,-5028,-265,1960,-1966
614,17000,1044,-4744,-544,2444,-2837
654,16908,-1068,-4452,557,2989,-4489
693,19144,-296,-4968,-550,2918,-7555
733,18000,1520,-7740,-2688,2016,-8336
774,16528,1548,-6944,-10318,1668,-4984
815,15584,-5300,-3420,-12164,780,999
855,15968,-5304,-2152,-765,-2512,1132
894,16504,-1904,-2828,4118,-2531,3726
935,17288,-1684,-3700,3326,-2029,6913
976,16748,-1244,-3420,3666,-2043,8922
1016,16116,-1676,-3332,6305,-2439,10985
1059,17036,-1224,-4420,8021,-3007,12990
1101,16592,-1848,-3844,9089,-3138,14630
1144,18076,-1188,-4288,9633,-2877,15464
1187,17352,1624,-4600,6201,-2056,14330
1228,17336,2448,-4624,1866,-1655,10097
1270,16552,2028,-3848,-1091,-688,4017
1311,16204,1388,-3728,-1182,-185,-1731
1352,16004,2396,-5288,-1445,102,-7003
1393,24232,-27312,-3344,-21678,-735,5245
1436,7716,-3688,-3084,7885,-1084,-13385
1479,13944,4116,-11836,2061,-2957,-10034
1523,18612,-1836,-7784,-11156,-732,-5450
1566,15744,-1340,-3880,54,-1363,-7741
1607,16068,-564,-6252,407,-1626,-7016
1648,15236,-188,-6624,-763,-980,-5471
1688,16764,996,-6124,-1942,-374,-4114
1729,16268,-724,-6220,-3234,-144,-3334
1770,16308,-460,-6260,-3638,-104,-4107
1812,15784,-1224,-6460,-3668,147,-5041
1854,15960,-900,-5744,-1361,166,-6348
1894,16072,92,-6952,258,-28,-7884
1931,16404,-680,-5912,-3600,601,-8943
1972,18192,3828,-5584,-1931,1314,-9606
2013,18596,2316,-5708,-4560,1868,-10316
2056,19116,2360,-6012,-3410,2526,-11847
2098,21676,1468,-7640,-7023,3870,-13508
2141,23292,300,-5784,-12483,4215,-14766
2184,25156,-8120,-9360,-14926,4677,-13002
2228,15328,1480,-7288,-2128,7300,-14750
2271,11880,4572,-7852,-10551,-700,-1393
2314,10468,-3680,1312,-14638,-1611,15759
2357,13448,-1068,-12,10259,-8539,16497
2399,17220,8060,-3700,10437,-8649,20737
2442,17252,6644,-3672,-2085,-5288,26266
2484,17504,1620,-308,4336,-7129,25883
2525,18744,3000,-1388,11962,-6087,24046
2567,18836,3552,-4136,12125,-3539,23783
2610,19492,3700,-5296,12780,-3532,21932
2653,20388,8080,-7576,8023,-2569,14716
2694,18208,8204,-5876,1765,-1591,4569
2735,16992,9484,-4532,1267,-610,-7539
2776,11180,-4980,-32768,-293,-4677,-12836
2820,10612,11208,-9116,9645,-9758,-28024
2864,18708,4692,-6036,19125,-5908,-12935
2908,15460,5776,-13940,-1677,-4233,-13131
2952,17652,-1260,-2328,-13002,2306,-4866
2996,15072,-5260,-2580,3563,-3831,-7687
3039,15992,4616,-9660,-2393,-2340,-6059
3081,16280,-1540,-5672,-12316,502,-2127
