40495, 8.30
40524, 8.11
40554, 8.18
40584, 11.11
40614, 14.43
40644, 12.43
40674, 12.01
40704, 11.28
40734, 10.83
40764, 9.91
40794, 9.05
40823, 8.57
40854, 8.44
40884, 8.48
40913, 8.47
40943, 8.53
40974, 8.66
41004, 8.49
41033, 8.16
41063, 8.42
41094, 10.71
41123, 14.62
41153, 17.30
41183, 17.62
41213, 15.33
41243, 15.65
41273, 14.16
41303, 12.61
41333, 11.13
41363, 10.16
41393, 9.57
41422, 9.08
41453, 8.79
41483, 8.54
41512, 8.38
41542, 8.35
41573, 8.04
41603, 7.62
41632, 7.06
41662, 6.72
41693, 8.72
41722, 12.82
41752, 15.77
41782, 11.64
41812, 11.30
41842, 10.15
41872, 8.91
41902, 7.96
41932, 7.30
41962, 7.00
41992, 6.85
42021, 6.67
42052, 6.47
42082, 6.35
42112, 6.24
42141, 6.12
42172, 5.91
42202, 5.11
42231, 3.91
42261, 3.80
42292, 5.76
42321, 8.68
42351, 11.57
42381, 14.41
42412, 17.14
42441, 19.49
42471, 21.20
42501, 22.42
42531, 22.68
42561, 19.37
42591, 16.56
42620, 13.43
42651, 11.11
42681, 9.24
42711, 7.95
42740, 7.19
42771, 6.58
42801, 5.96
42830, 5.41
42860, 5.00
42891, 4.60
42920, 4.30
42950, 4.09
42980, 3.80
43011, 3.72
43040, 3.27
43070, 2.36
43100, 3.12
43130, 5.92
43160, 9.25
43190, 11.74
43219, 12.99
43250, 13.42
43280, 12.80
43310, 8.26
43339, 7.65
43370, 5.36
43400, 3.41
43429, 2.07
43459, 1.22
43490, 0.78
43520, 0.47
43549, 0.02
43579, -0.40
43610, -0.77
43639, -1.24
43669, -1.68
43699, -2.09
43729, -2.57
43759, -3.18
43789, -3.87
43819, -4.59
43849, -5.29
43879, -5.78
43909, -6.26
43938, -6.76
43969, -7.30
43999, -8.03
44028, -8.98
44058, -10.35
44089, -12.19
44119, -14.03
44148, -16.28
44178, -19.22
44209, -23.20
44238, -26.34
44268, -27.38
44298, -27.36
44328, -25.95
44358, -23.26
44388, -20.11
44418, -16.51
44448, -12.35
44478, -7.99
44508, -3.63
44537, 0.66
44568, 5.09
44598, 9.53
44627, 13.95
44658, 18.17
44688, 21.96
44718, 24.98
44747, 26.96
44778, 27.79
44808, 27.31
44837, 25.65
44867, 22.87
44898, 20.64
44928, 17.21
44957, 13.65
44987, 11.30
45018, 8.91
45047, 6.53
45077, 4.49
45107, 2.71
45137, 1.10
45167, -0.42
45197, -1.69
45227, -2.73
45257, -3.68
45287, -4.57
45317, -5.39
45346, -6.27
45377, -7.31
45407, -8.52
45436, -9.78
45466, -11.06
45497, -12.33
45527, -13.48
45556, -14.74
45586, -16.06
45617, -17.50
45646, -19.13
45676, -20.87
45707, -22.87
45736, -25.08
45766, -27.67
45796, -31.35
45826, -34.78
45856, -36.44
45886, -35.41
45916, -33.44
45945, -31.05
45976, -28.11
46006, -23.92
46035, -18.57
46065, -13.02
46096, -8.05
46126, -3.70
46155, 0.27
46185, 4.25
46216, 8.16
46245, 12.20
46275, 16.33
46305, 20.43
46336, 24.12
46365, 27.10
46395, 29.26
46425, 30.27
46455, 29.97
46485, 28.45
46515, 26.13
46544, 25.51
46575, 22.50
46605, 18.57
46635, 15.77
46664, 13.27
46695, 11.37
46725, 10.13
46754, 8.89
46784, 7.69
46815, 6.74
46844, 5.99
46874, 5.42
46904, 4.80
46935, 4.18
46964, 3.72
46994, 3.41
47024, 3.05
47054, 2.60
47084, 2.16
47114, 1.64
47143, 1.05
47174, 0.51
47204, -0.14
47234, -0.88
47263, -1.78
47294, -2.89
47324, -3.66
47353, -4.13
47383, -4.50
47414, -4.75
47443, -4.90
47473, -5.07
47503, -5.30
47534, -5.40
47563, -5.36
47593, -5.27
47623, -5.26
47653, -5.38
47683, -5.53
47713, -5.70
47742, -5.85
47773, -5.93
47803, -5.95
47833, -5.98
47862, -5.96
47893, -5.92
47923, -5.86
47952, -5.88
47982, -5.93
48013, -6.02
48043, -6.11
48072, -6.13
48102, -6.12
48133, -6.10
48162, -6.04
48192, -6.01
48222, -5.99
48252, -5.96
48282, -5.92
48312, -5.87
48342, -5.80
48372, -5.75
48402, -5.71
48432, -5.67
48461, -5.68
48492, -5.69
48522, -5.70
48551, -5.72
48581, -5.70
48612, -5.69
48642, -5.68
48671, -5.68
48701, -5.70
48732, -5.72
48761, -5.73
48791, -5.74
48821, -5.72
48851, -5.68
48881, -5.63
48911, -5.56
48941, -5.49
48971, -5.42
49001, -5.37
49031, -5.33
49060, -5.31
49091, -5.30
49121, -5.29
49150, -5.28
49181, -5.27
49211, -5.26
49241, -5.25
49270, -5.24
49301, -5.24
49331, -5.23
49360, -5.23
49390, -5.22
49421, -5.21
49451, -5.20
49480, -5.20
49510, -5.19
49541, -5.18
49570, -5.17
49600, -5.15
49630, -5.14
49660, -5.13
49690, -5.12
49720, -5.12
49750, -5.14
49780, -5.15
49810, -5.17
49840, -5.20
49869, -5.23
49900, -5.27
49930, -5.27
49959, -5.26
49989, -5.27